Term	RawFrequency	RelativeFrequency
ἐπιβαίνω	22	1.76E-04
ἐπίλεκτος	22	1.76E-04
ἐπίβουλος	22	1.76E-04
ἐκεῖθεν	22	1.76E-04
ἐκδέχομαι	22	1.76E-04
ἔκπληξις	22	1.76E-04
διοικέω	22	1.76E-04
διαβάλλω	22	1.76E-04
βραχύς	22	1.76E-04
αὐτομολέω	22	1.76E-04
αὐτοκράτωρ	22	1.76E-04
ἀποκόπτω	22	1.76E-04
ἀναφεύγω	22	1.76E-04
ἀμείνων	22	1.76E-04
ἀκέω	22	1.76E-04
ὕβρις	21	1.68E-04
τιτρώσκω	21	1.68E-04
τεσσαράκοντα	21	1.68E-04
τελευτή	21	1.68E-04
συνέρχομαι	21	1.68E-04
πυνθάνομαι	21	1.68E-04
προσστάζω	21	1.68E-04
προσέχω	21	1.68E-04
προκαλέω	21	1.68E-04
προέπειμι	21	1.68E-04
πούς	21	1.68E-04
πηγή	21	1.68E-04
κτῆσις	21	1.68E-04
καταστρέφω	21	1.68E-04
καταπλάσσω	21	1.68E-04
κάμνω	21	1.68E-04
εἴσοδος	21	1.68E-04
ἕνος	21	1.68E-04
ἐπιτίθημι	21	1.68E-04
ἐνάγω	21	1.68E-04
ἐλαύνω	21	1.68E-04
ἀφοράω	21	1.68E-04
ἀσθενής	21	1.68E-04
ἀντί	21	1.68E-04
ἀνέχω	21	1.68E-04
ἀνδρεία	21	1.68E-04
ἀλκή	21	1.68E-04
ἄρα	21	1.68E-04
χωρίς	20	1.60E-04
ὑπαντάω	20	1.60E-04
τριακόσιοι	20	1.60E-04
σχῆμα	20	1.60E-04
σφόδρα	20	1.60E-04
στρατεία	20	1.60E-04
σῖτος	20	1.60E-04
πῶς	20	1.60E-04
προσλαμβάνω	20	1.60E-04
πρόφασις	20	1.60E-04
πρόσκειμαι	20	1.60E-04
πλοῦτος	20	1.60E-04
πανταχόθεν	20	1.60E-04
μιαίνω	20	1.60E-04
μεταξύ	20	1.60E-04
κορυφή	20	1.60E-04
κατεῖδον	20	1.60E-04
κάσσιος	20	1.60E-04
ἰσχυρός	20	1.60E-04
εὐφράτης	20	1.60E-04
ἐπιβουλεύω	20	1.60E-04
ἐπέχω	20	1.60E-04
ἐξουσία	20	1.60E-04
ἐμαυτοῦ	20	1.60E-04
ἐκτείνω	20	1.60E-04
ἐκπέμπω	20	1.60E-04
δύσις	20	1.60E-04
δουλεύω	20	1.60E-04
διαδοχή	20	1.60E-04
γράμμα	20	1.60E-04
βάσανος	20	1.60E-04
ἀριθμός	20	1.60E-04
ἀποδιδράσκω	20	1.60E-04
ἀπογιγνώσκω	20	1.60E-04
ἀπόγνωσις	20	1.60E-04
ἀνοίγνυμι	20	1.60E-04
ἀγνοέω	20	1.60E-04
ἄπειμι	20	1.60E-04
χρεία	19	1.52E-04
χειρόω	19	1.52E-04
φάρμακον	19	1.52E-04
ὑποψία	19	1.52E-04
ὑποτάσσω	19	1.52E-04
ὑπόνομος	19	1.52E-04
τρισχίλιοι	19	1.52E-04
σαβῖνος	19	1.52E-04
προδοσία	19	1.52E-04
ποικίλος	19	1.52E-04
πλέω	19	1.52E-04
πιστός	19	1.52E-04
περιβάλλω	19	1.52E-04
πάθη	19	1.52E-04
ὅθεν	19	1.52E-04
ὀχυρότης	19	1.52E-04
μνημεῖον	19	1.52E-04
μεταβολή	19	1.52E-04
λάθρῃ	19	1.52E-04
κυκλόω	19	1.52E-04
κύκλος	19	1.52E-04
κατάπληξις	19	1.52E-04
καλύπτω	19	1.52E-04
καθύπερθε	19	1.52E-04
ἰούδας	19	1.52E-04
εἰσέρχομαι	19	1.52E-04
ἐμπίπλημι	19	1.52E-04
ἐκδρομή	19	1.52E-04
ἔξεστι	19	1.52E-04
δουλεία	19	1.52E-04
διαγιγνώσκω	19	1.52E-04
βοηθέω	19	1.52E-04
ἅλων	19	1.52E-04
ἀποκλείω	19	1.52E-04
ἀνίημι	19	1.52E-04
ἀναπέμπω	19	1.52E-04
ἀμήχανος	19	1.52E-04
ἀλλότριος	19	1.52E-04
ὠμός	18	1.44E-04
ὦ	18	1.44E-04
φθόνος	18	1.44E-04
φάσκω	18	1.44E-04
τροφεύς	18	1.44E-04
τρέφω	18	1.44E-04
τετρακόσιοι	18	1.44E-04
συμπλέκω	18	1.44E-04
συγγνώμη	18	1.44E-04
στενωπός	18	1.44E-04
σπουδή	18	1.44E-04
πύθω	18	1.44E-04
πρᾶξις	18	1.44E-04
ὅταν	18	1.44E-04
ὀνομάζω	18	1.44E-04
μετέωρος	18	1.44E-04
μεταβάλλω	18	1.44E-04
λόχος	18	1.44E-04
κριός	18	1.44E-04
κλεοπάτρη	18	1.44E-04
κατασκάπτω	18	1.44E-04
καταβαίνω	18	1.44E-04
καίω	18	1.44E-04
ἰησοῦς	18	1.44E-04
εἴκω	18	1.44E-04
ἑξήκοντα	18	1.44E-04
ἑξακόσιοι	18	1.44E-04
ἑβδομήκοντα	18	1.44E-04
ἐργάζομαι	18	1.44E-04
ἐπιθυμέω	18	1.44E-04
ἐπαρχία	18	1.44E-04
ἐμφύλιος	18	1.44E-04
ἐλεύθερος	18	1.44E-04
ἔνδεια	18	1.44E-04
ἔλεος	18	1.44E-04
διακόσιοι	18	1.44E-04
δαιμόνιον	18	1.44E-04
βοήθεια	18	1.44E-04
αὐτόμολος	18	1.44E-04
αὐτίκα	18	1.44E-04
αἴρω	18	1.44E-04
ἁγέομαι	18	1.44E-04
ἅπαξ	18	1.44E-04
ἀράβιος	18	1.44E-04
ἀπολύω	18	1.44E-04
