Label,verbs,articles,nouns,pronouns,adjectives,prepositions,particles,conjunctions,unknowns,adverbs,propers,interjections
B172,0.1666666667,0.1666666667,0.3333333333,0,0.0833333333,0,0,0.0833333333,0,0.1666666667,0,0
B173,0.1578947368,0.1052631579,0.1052631579,0,0.1052631579,0.052631579,0.1578947368,0.052631579,0,0.052631579,0.2105263158,0
B174,0.1891891892,0.1621621622,0.1891891892,0.027027027,0.0810810811,0.0810810811,0.0810810811,0.0540540541,0.0810810811,0.0540540541,0,0
B175,0.2857142857,0.1428571429,0,0,0,0,0.2857142857,0,0,0.1428571429,0.1428571429,0
B176,0.25,0.25,0.1666666667,0,0.0833333333,0.0833333333,0.0833333333,0.0833333333,0,0,0,0
B177,0.2857142857,0.2142857143,0,0,0.0714285714,0.2142857143,0.0714285714,0,0.0714285714,0.0714285714,0,0
B178,0.1379310345,0.3103448276,0.1379310345,0,0.1379310345,0.1034482759,0.0689655172,0,0,0.0689655172,0.0344827586,0
B179,0.2222222222,0.1111111111,0.0555555556,0.0555555556,0.1111111111,0.0555555556,0.1666666667,0.0555555556,0,0.0555555556,0.1111111111,0
B180,0.2307692308,0.1538461538,0.0769230769,0.0256410256,0.1794871795,0.1025641026,0.1282051282,0.0512820513,0.0256410256,0.0256410256,0,0
B181,0.1176470588,0.1176470588,0.1176470588,0.0588235294,0.0588235294,0.1764705882,0,0.0588235294,0.1176470588,0,0.1764705882,0
B182,0.2307692308,0.0769230769,0.1538461538,0.0769230769,0,0.1538461538,0.0769230769,0.0769230769,0,0,0.1538461538,0
B183,0.2608695652,0.1304347826,0.2173913043,0,0.0434782609,0.0869565217,0.0434782609,0.0434782609,0,0.0434782609,0.1304347826,0
B184,0.1764705882,0.0882352941,0.1764705882,0.0588235294,0.0882352941,0.1176470588,0.0294117647,0.0882352941,0.0588235294,0,0.1176470588,0
B185,0.1764705882,0.2352941176,0.2352941176,0,0.1176470588,0.1176470588,0.0588235294,0.0588235294,0,0,0,0
B186,0.3333333333,0.0833333333,0.3333333333,0,0.0833333333,0,0.0833333333,0,0,0.0833333333,0,0
